num_of_people_rated,rating,discount,new_price,old_price,item name
4.2 out of 5(90),4.2 out of 5,39%,"₦ 17,500 - ₦ 17,590","₦ 28,500",Depally NEW SHINING  STONE UP DESIGNERS SHOE BLACK
3.5 out of 5(11),3.5 out of 5,23%,"₦ 25,780","₦ 33,514",Asadon Halfshoes Mules
4.3 out of 5(3),4.3 out of 5,,"₦ 6,500",,Men's Shoes Black
4.5 out of 5(30),4.5 out of 5,63%,"₦ 11,000 - ₦ 11,500","₦ 30,000",Santiago 2022 Mens Formal Casual Leather Shoes - Black And White
3.9 out of 5(22),3.9 out of 5,35%,"₦ 13,000 - ₦ 15,000","₦ 20,000",Standard Half Shoe
3.8 out of 5(4),3.8 out of 5,47%,"₦ 19,980","₦ 38,000",MASTER EAGLE COOL BIGGER BOYS SHOES BLACK
,,29%,"₦ 32,000","₦ 45,000",Clarks Executive New Clark  Casuasl& Fashionable Shoe
4.4 out of 5(5),4.4 out of 5,41%,"₦ 13,980","₦ 23,800",VANGELO ITALIAN LEATHER BLACK  SHOE
3.8 out of 5(13),3.8 out of 5,49%,"₦ 4,560","₦ 9,000",Executive Business Men Leather Loafer Shoes- Black
3.7 out of 5(28),3.7 out of 5,30%,"₦ 14,000","₦ 20,000",Pleasant Half Shoe
5 out of 5(2),5 out of 5,52%,"₦ 18,300","₦ 38,500",Cubana Confirm Designer Buckle Shoes Black STONE DESIGN
4 out of 5(5),4 out of 5,23%,"₦ 25,780","₦ 33,514",Emilio Half Shoes Mules - Black
,,61%,"₦ 24,845","₦ 63,779",Shoes Men Spring Business Dress Casual Shoes British Youth Wedding Shoes Best Man Men Shoes Trend England
4.5 out of 5(2),4.5 out of 5,,"₦ 54,500 - ₦ 55,500",,Clarks Original Clarks  Work- Shoe
4 out of 5(1),4 out of 5,8%,"₦ 55,000","₦ 60,000",Clarks Corporate Men's Shoes - Black
5 out of 5(1),5 out of 5,37%,"₦ 17,600","₦ 27,800",DEPALLY BROGUE SHINING TIE DESIGNERS SHOE BLACK
4.3 out of 5(59),4.3 out of 5,30%,"₦ 10,500","₦ 15,000",Mens Basket Leather Half Shoe - Black
5 out of 5(1),5 out of 5,32%,"₦ 19,590","₦ 28,700",Vangelo CLASSIC CONFIRM CHAIN  DESIGNER SHOE BLACK
3.5 out of 5(2),3.5 out of 5,52%,"₦ 17,600","₦ 37,000",DEPALLY COOL STONE DESIGNERS SHOE BLACK
5 out of 5(2),5 out of 5,47%,"₦ 26,000","₦ 46,000 - ₦ 49,000",Clarks Clark Men Fashion Shoe Black
4.5 out of 5(2),4.5 out of 5,47%,"₦ 16,000","₦ 30,000",Luxury Designer Mens Casual Leather Loafers Italian Men Half Shoes
4.1 out of 5(31),4.1 out of 5,32%,"₦ 23,699 - ₦ 24,345","₦ 33,749 - ₦ 35,099",Men's New Fashion Business Casual  Trendy Leather Shoes Breathable Soft - White
,,37%,"₦ 14,980","₦ 23,800",ITALIAN CHAIN LEATHER BLACK  SHOES
4 out of 5(18),4 out of 5,44%,"₦ 14,000","₦ 25,000",Men's Chain Top Half Shoe
4.1 out of 5(9),4.1 out of 5,,"₦ 29,500",,New  CONFIRM TIK TOK Design SHOE BLACK
4.2 out of 5(33),4.2 out of 5,73%,"₦ 12,150","₦ 45,000",FOLLETEL NEW Mens Office Wedding Leisure Italian Leather Shoe Black F63
5 out of 5(1),5 out of 5,51%,"₦ 14,500 - ₦ 14,600","₦ 29,800",Men's PLAIN SHINING LEATHER Designer Shoe Black
3.6 out of 5(10),3.6 out of 5,45%,"₦ 18,670","₦ 33,800",DEPALLY CLASSIC TIE BROGUE DESIGNERS SHOES BLACK
,,56%,"₦ 14,800","₦ 33,700",DEPALLY CLIN DESIGNERS SHOE BLACK
,,50%,"₦ 48,888","₦ 97,776",Adroit Fashion Men's Fashion Formal Shoes Black Heighten 5CM Platform Slip On Shoes Elegant Suit Business Office Leather Shoes For Men High Quality Tassels Designer Party & Wedding Patent Leather Male Dress Shoes
,,38%,"₦ 18,600","₦ 29,800",Vangelo CLASSIC CRACK LEATHER BLACK  SHOE
3.8 out of 5(20),3.8 out of 5,12%,"₦ 11,500","₦ 13,000",Mens Half Shoe Black With Buckle
,,42%,"₦ 14,499","₦ 25,000",Men Basket Two Buckle Leather Half Shoe Black
3.3 out of 5(6),3.3 out of 5,37%,"₦ 18,860","₦ 29,800",New Arrival  Men Classic Shoe Black GD
4.3 out of 5(8),4.3 out of 5,29%,"₦ 8,549","₦ 12,000",Stainless Steel Shoe Rack For 20 Pairs Shoes 5-Layers
4.5 out of 5(2),4.5 out of 5,36%,"₦ 29,000","₦ 45,000",Clarks Executive New Clark  Casuasl& Fashionable Sneakers
5 out of 5(1),5 out of 5,47%,"₦ 17,980","₦ 33,800",MENS BROGUE DESIGNERS TIE   SHOES BLACK
4 out of 5(51),4 out of 5,44%,"₦ 13,999 - ₦ 14,500","₦ 25,000",Unique  Mens Basket  Leather Half Shoe - Black
,,55%,"₦ 44,600","₦ 98,900",Italian Handmade Mens Formal Shoes Slip On Calf Leather Oxfords Size 45 46 Top Quality Luxury Brogue Wedding Party Dress Shoes For Men Classic Style Leather Shoes Male Office Loafers Brown
4.2 out of 5(51),4.2 out of 5,27%,"₦ 13,000","₦ 17,820",ALagzi 2024 Kids Classic Fashion Casual Shoes Sneakers - White
4.3 out of 5(4),4.3 out of 5,50%,"₦ 15,000","₦ 30,000",Mens Flvour Leather Half Shoe - Black
4.1 out of 5(19),4.1 out of 5,68%,"₦ 8,999","₦ 28,500",Varrati Men's Patent Leather Tuxedo Luxury Wedding Office  Shoes - Black
,,2%,"₦ 28,290 - ₦ 31,905","₦ 28,778 - ₦ 32,393",Men's Shoes New Patent Leather Bright Face Pointed Men's Formal Business Leather Shoes Men Large Size British Shoes Men
3.3 out of 5(6),3.3 out of 5,43%,"₦ 16,500","₦ 28,700",Depally MEN BROGUE HEEL TIE DESIGNER SHOE BLACK
4.1 out of 5(15),4.1 out of 5,19%,"₦ 14,499","₦ 18,000",Classic Men's Foreign Half Shoe
,,33%,"₦ 19,900","₦ 29,600",Vangelo DOUBLE BUKKLE LEATHER DESIGNER SHOE BLACK
5 out of 5(1),5 out of 5,,"₦ 12,500",,Men Formal Casual Loafers Brown
4.3 out of 5(35),4.3 out of 5,71%,"₦ 16,500","₦ 57,000",Business Dress Shoes For Young Men England Black Round Head Leisure Shoes
4.3 out of 5(24),4.3 out of 5,62%,"₦ 11,500","₦ 30,000",Santiago 2022 New Mens Formal Casual Leather All Purpose Shoes - Black
4 out of 5(3),4 out of 5,28%,"₦ 21,000","₦ 29,000",A4 Fashion Business Soft-soled Plaid Leather Shoes-P8822 Black
4.3 out of 5(28),4.3 out of 5,45%,"₦ 15,900","₦ 28,800",Men's Business Formal Shoes Ltalian Calfskin Oxford Shoes - Brown
