num_of_people_rated,rating,discount,new_price,old_price,item name
5 out of 5(1),5 out of 5,30%,"₦ 14,000","₦ 20,000",Nice Men's Half Shoe
4.8 out of 5(4),4.8 out of 5,55%,"₦ 25,263","₦ 56,140",ADIDAS Core / Neo Sport Shoes Kids Vs Advantage Cl K
4.5 out of 5(2),4.5 out of 5,59%,"₦ 16,500","₦ 39,800",New Arrival Football Boots YELLOW
,,,"₦ 51,850",,"Safety Jogger Grey FITZ S1P SAFETY SHOE, SAFETY BOOT"
,,24%,"₦ 45,472 - ₦ 45,922","₦ 60,000",Men's Fashion Dress Shoes Black Height-5cm Waterproof Platform Cover Wear Shoes Elegant Suit Business Office Leather Shoes Men's High-quality Tassel Designer Party And Wedding Patent Leather Men's Dress Shoes
3.2 out of 5(6),3.2 out of 5,48%,"₦ 6,300","₦ 12,000",Black Covered Slip-on Pam Slippers- With Centre Openings
4 out of 5(5),4 out of 5,,"₦ 4,500",,Women Adorable Flat Shoe Ladies-white
,,,"₦ 9,000",,Alluring Men's Foreign Half Shoe
2.5 out of 5(2),2.5 out of 5,29%,"₦ 4,999","₦ 7,000",Beautiful Children Crocs Black/Red
,,18%,"₦ 7,500","₦ 9,200",WEEKEND Boys Navy Stretch Strap Ankle Boot
,,53%,"₦ 8,999","₦ 18,999",2023 Men's Cheap Casual Shoe Sneakers - Multicolor
,,12%,"₦ 48,260","₦ 54,610",Plus Size (39-48) Basketball Shoes Men's Sports Shoes Black
3.8 out of 5(35),3.8 out of 5,71%,"₦ 8,299 - ₦ 8,500","₦ 28,500",Varrati Men's Patent Leather Smooth Pointed Shoe With Lace - Black
1.5 out of 5(2),1.5 out of 5,37%,"₦ 6,300","₦ 10,000",Mens Cross Black Palm Slippers
5 out of 5(4),5 out of 5,31%,"₦ 13,524 - ₦ 15,696","₦ 19,499",Cute Girls Summer Princess Sandals Toddler Kid Velcro Soft Bottom Shoes
5 out of 5(1),5 out of 5,,"₦ 8,499",,Baby Girl Soft  Soled Shoe With FlowerBow
5 out of 5(1),5 out of 5,39%,"₦ 35,594","₦ 58,124",Men's Casual Business Leather Shoes
5 out of 5(1),5 out of 5,33%,"₦ 19,999 - ₦ 30,000","₦ 30,000",SPORTY CANVASS SHOES WITH KEVLAR/EVA SOLE PROTECTION
,,,"₦ 19,000",,Symphony School Shoes For Boys
3.8 out of 5(4),3.8 out of 5,48%,"₦ 6,500","₦ 12,500","Non Marking 4 Pairs (xs,s,m,L) Of Heel Protector"
,,20%,"₦ 32,598","₦ 40,748",(Auburn)High Quality Classic Business Mens Dress Shoes Fashion Elegant Formal Wedding Shoes Men Slip On Office Oxford Shoes For Men JIN
4.7 out of 5(3),4.7 out of 5,14%,"₦ 15,500","₦ 18,000",Quality Boys Leather School Shoes
3.3 out of 5(3),3.3 out of 5,13%,"₦ 12,999","₦ 15,000",Mens Suede Palm Black
4 out of 5(8),4 out of 5,27%,"₦ 22,000","₦ 30,000",Safety  Master Safety Boots(steel Toe)-black
5 out of 5(3),5 out of 5,29%,"₦ 7,500 - ₦ 8,500","₦ 10,500",Fuce Sandals For Kids/Adult - Black Color
4.4 out of 5(8),4.4 out of 5,31%,"₦ 16,900","₦ 24,500",Soft-soled Non-slip Waterproof Fleece High-top Shoes-P8806 Black
,,28%,"₦ 21,600","₦ 29,800",Depally NEW ARRIVAL STONE UP DESIGNER SHOE BLACK
5 out of 5(3),5 out of 5,,"₦ 68,950",,"Safety Jogger RAPTOR SAFETY SHOE, SAFETY BOOT"
,,41%,"₦ 4,999","₦ 8,500",Girls Ballet Flat Shoes
,,23%,"₦ 33,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,10%,"₦ 9,000","₦ 10,000",Children's Sports Shoes Girls Rhinestone Glowing Shoes-Black
5 out of 5(1),5 out of 5,,"₦ 25,000",,Clarks Brown Lace-up Loafers Shoe
,,60%,"₦ 47,100 - ₦ 49,900","₦ 117,750 - ₦ 124,750",Flangesio Italian Handmade Mens Formal Shoes Slip On Calf Leather Oxfords Size 45 46 Top Quality Luxury Brogue Wedding Party Dress Shoes For Men Classic Style Leather Shoes Male Office Loafers Black
5 out of 5(1),5 out of 5,65%,"₦ 3,250 - ₦ 3,550","₦ 9,300",Non Marking Shoe Horn/Lazy Shoe Helper Shoe To Sleepon
,,56%,"₦ 5,700","₦ 12,900",5 Layer Display Shoe Rack
5 out of 5(1),5 out of 5,8%,"₦ 5,500","₦ 6,000",Character Boy Crocs- Blue
4 out of 5(1),4 out of 5,53%,"₦ 7,500","₦ 16,000",ROYAL AND EXECUTIVE MALE CHILD SHOE
5 out of 5(2),5 out of 5,19%,"₦ 8,500","₦ 10,500",Girls Rubber School Shoes
4.5 out of 5(2),4.5 out of 5,1%,"₦ 9,999","₦ 10,000",5-layer Shoe Rack Shelf With Fabric Cover
,,58%,"₦ 25,000","₦ 60,000",Mens Suede Martin Brock Boot Bullock Formal Dress Shoes Leather Shoes Brown
,,14%,"₦ 5,999","₦ 6,999",Ladies Everything Women's Outdoor Casual Sport Shoes -Ladies Simple Comfortable Sneakers
4.3 out of 5(12),4.3 out of 5,11%,"₦ 31,500","₦ 35,500",Mobile Wardrobe- 2 Column
,,15%,"₦ 45,555","₦ 53,700",Men's Luxury Casual Shoes Business Formal Shoes
,,51%,"₦ 17,000 - ₦ 22,000","₦ 35,000",A PAIR OF ADJUSTABLE MEN SHOE TREE AND EXPANDER
4.7 out of 5(7),4.7 out of 5,,"₦ 54,500",,Clarks Original Clarks  Work- Shoe
4 out of 5(7),4 out of 5,,"₦ 10,999",,Infants Unisex First Walk Sneakers
4 out of 5(2),4 out of 5,,"₦ 6,500",,Leather Children's Sport Casual Comfortable Unisex School Sneakers Shoe-Black
5 out of 5(1),5 out of 5,,"₦ 35,000",,SPORT Men Football Soccer Boot White/Pink
3 out of 5(1),3 out of 5,50%,"₦ 5,999","₦ 12,000",Ladies Everything Ladies Simple Cheap Casual Comfortable Sport Outdoor Shoes Shoe Sneakers - Red
,,31%,"₦ 16,900","₦ 24,500",Casual Soft Sole Leather Shoes-822 Black
4.2 out of 5(6),4.2 out of 5,,"₦ 16,500",,SPORT Strong Football Boot White
4.5 out of 5(2),4.5 out of 5,24%,"₦ 6,500","₦ 8,500",George Boys Nautical Stripe Canvas Pumps
,,,"₦ 6,500",,Fuce Boys Casual School Men Sandal-brown
2 out of 5(1),2 out of 5,,"₦ 12,500",,Ladies Flat Platform Shoe Sneakers Female Women Shoe-blue
4 out of 5(2),4 out of 5,36%,"₦ 29,000","₦ 45,500",Clarks Exclusive Foot Fenzy -  Massive Discounts On The Season's Hottest Shoes
,,,"₦ 16,500",,Stylish Girls Block Heel Shoe
,,33%,"₦ 25,990","₦ 39,000",Mens Nubuck Out Leather Shoes Male Casual Shoes--Black
4.5 out of 5(2),4.5 out of 5,,"₦ 13,000",,SPORT Men Strong Football Soccer Boots Grey And Blue
,,,"₦ 8,599",,"Baby Girl, Princess Flat Shoe"
,,49%,"₦ 17,980","₦ 35,000",NEW CLASSIC BROGUES TIE  DESIGNER SHOE BROWN
5 out of 5(4),5 out of 5,60%,"₦ 22,448","₦ 56,119",ADIDAS Performance Sport Shoes Kids Fortarun X K
,,42%,"₦ 58,090","₦ 100,155",Mens Fashion Leather Safety Shoes Steel Toe Cap Anti-Scalding Industrial Shoes
,,33%,"₦ 30,000","₦ 45,000",Clarks Executive New Clark  Casuasl& Fashionable Sneakers
,,,"₦ 8,000",,Children Unisex Outdoor Sneakers Shoe
5 out of 5(1),5 out of 5,50%,"₦ 15,000","₦ 30,000",Men's Decent Half Shoe Black
,,,"₦ 9,000",,Children Girl's Wedge Sandals ( Small Fitting Size 30 Order Size 32)
,,,"₦ 40,000 - ₦ 45,000",,Leather Work Loafer
4.6 out of 5(5),4.6 out of 5,78%,"₦ 5,080","₦ 22,780",Defacto Boy Slippers Slipper-Flipflop - Turquoise
,,22%,"₦ 43,062","₦ 55,200",Men Loafers High Quality Men Flats Driving Shoes
,,,"₦ 7,000",,Boys Casual Leather Sport Sandal
4 out of 5(1),4 out of 5,42%,"₦ 9,500","₦ 16,500",Baby Head Protection Cap/ Helmet For Toddlers
4 out of 5(1),4 out of 5,44%,"₦ 13,999 - ₦ 14,500","₦ 25,000",Mens Basket Leather Half Shoe - Black
5 out of 5(1),5 out of 5,46%,"₦ 15,980","₦ 29,800",Depally CLASSIC CHAIN  DESIGNERS SHOE BLACK
4.5 out of 5(2),4.5 out of 5,21%,"₦ 12,500","₦ 15,800",Lilley Teen Girls Buckle Bar School Shoe
5 out of 5(1),5 out of 5,,"₦ 15,000",,Silver Girls Low Heel Princess Shoe
4.4 out of 5(16),4.4 out of 5,29%,"₦ 14,800","₦ 20,784",Boys Dress Up Shoes Boys Smart Formal Shoes-Black
,,,"₦ 5,500 - ₦ 6,000",,Back To School Shoe
,,42%,"₦ 17,980","₦ 30,800",NEW ARIVAL STONE POINT SHOES GOLD/BLACK
4 out of 5(1),4 out of 5,5%,"₦ 15,999","₦ 16,850",Fringed Mens Leisure Half Shoes Luxury Suede Formal Sandals Yellow
4.2 out of 5(18),4.2 out of 5,44%,"₦ 18,550","₦ 33,000",DEPALLY TIK TOK HEEL DESIGNER SHOES BLACK
5 out of 5(2),5 out of 5,49%,"₦ 17,700","₦ 35,000",Senior Dede Confirm Stone Shoes Black
4.1 out of 5(18),4.1 out of 5,38%,"₦ 39,400 - ₦ 41,100","₦ 63,040 - ₦ 65,760",EUR 38-44 New Arrival Men Shoes Brogue Office Shoes Men Oxfords Shoes For Men Wedding Leather Shoes
,,50%,"₦ 35,328 - ₦ 40,405","₦ 70,656 - ₦ 80,810",2021 New Men's Damping Running Shoes Breathable Sneaker
,,38%,"₦ 37,317","₦ 59,847",Men's All-match Leather Shoes
,,42%,"₦ 46,790","₦ 80,672",Safety Shoes Men Work Boots Women Steel Toe Cap Sport Snekers Puncture Proof
,,,"₦ 10,500",,SPORT Men Sports Orange Trainers
,,35%,"₦ 55,604","₦ 85,540",Mens Leather Business Dress Slip On Male Casual Shoes Big Size Brown
3.8 out of 5(5),3.8 out of 5,66%,"₦ 9,500","₦ 28,000",MEN CLASSIC TIE DESIGNERS SHOE BLACK
3 out of 5(1),3 out of 5,40%,"₦ 12,000","₦ 20,000",A Pair Of Adjustable Shoe Tree Shaper And Expander
,,,"₦ 9,900",,Benny Leather Palm Men's Leather Cross Pam Palm Slippers - White/Brown
4 out of 5(7),4 out of 5,57%,"₦ 6,499","₦ 15,000",Highly Unique Male Child Shoe
,,15%,"₦ 54,891","₦ 60,060 - ₦ 64,935",Leisure Mens Thick-Soled Formal Leather Shoes Slip-On Business Office Shoes Red
4 out of 5(1),4 out of 5,31%,"₦ 8,999","₦ 12,999",New Men's Brighton Sneaker Canvas - Shoe
4 out of 5(1),4 out of 5,53%,"₦ 14,000","₦ 30,000",Quality Mens Black Palm Slippers
4.7 out of 5(3),4.7 out of 5,10%,"₦ 9,000","₦ 10,000",Big Boys Casual Shoes Mesh Spiderman Children's Shoes-Red
,,30%,"₦ 52,320","₦ 75,000",Business Soft Cover Men One Foot Casual Shoes-BLACK
4.6 out of 5(5),4.6 out of 5,,"₦ 9,300",,PVC RUBBER RAINBOOT
,,12%,"₦ 68,890","₦ 77,990",Safety Boots Steel Toe Work Shoes Durable Leather Upper
,,67%,"₦ 5,999","₦ 18,000",Ladies Everything Simple Cheap 2023 Outdoor Sport Shoes -  For Women And Girls School Shoes
3 out of 5(2),3 out of 5,,"₦ 16,500",,Men Soccer Boots Blue
5 out of 5(1),5 out of 5,58%,"₦ 12,500","₦ 30,000",Santiago New Mens Corporate Oxford Office Shoe F63- Black
,,,"₦ 13,716",,Children's Summer Sandals Cute Princess Shoes Non-slip Sandals Breathable Beach Shoes
,,17%,"₦ 41,723 - ₦ 41,735","₦ 50,000",Women's Low Heel Dress Shoes Ladies Ankle Strap Pump Sandals
5 out of 5(1),5 out of 5,50%,"₦ 24,999","₦ 50,000",Men'S 2023 Men's Simple Casual Formal Cooperate Shoe - Black Office Shoe + Shoe Box
4 out of 5(2),4 out of 5,,"₦ 70,000",,Oggi Classic Turkey Shoe
,,,"₦ 6,600 - ₦ 7,500",,Boy Chilldren School Shoe -Black
3 out of 5(1),3 out of 5,,"₦ 10,500",,SPORT Men Soccer Football Boot Blue/Green
,,50%,"₦ 38,300","₦ 76,500",Men's Casual Soft Leather Martin Boots
4 out of 5(3),4 out of 5,10%,"₦ 9,000","₦ 10,000",Children's LED Lights Shoes Girls Cartoon Baby Shoes-Pink
4 out of 5(1),4 out of 5,17%,"₦ 45,879 - ₦ 45,880","₦ 55,000",Ladies Sexy Fashion Fish Mouth Roman Sandals -Beige
4.7 out of 5(3),4.7 out of 5,,"₦ 9,800",,Stackable Shoe Rack - 30pair
,,13%,"₦ 6,999","₦ 8,000",Canvas - Girls Sneakers - Sneakers For Ladies -
,,5%,"₦ 45,555","₦ 47,970",Big Size Men Glossy Tassel Brogue Leather Shoes-black Gold
4.8 out of 5(8),4.8 out of 5,54%,"₦ 44,700","₦ 96,500",Big Size Mens Half Shoes Dress Slippers-Black Yellow
3.5 out of 5(2),3.5 out of 5,,"₦ 15,000",,SPORT Men Football Soccer Boot Gold
4.3 out of 5(69),4.3 out of 5,,"₦ 24,499",,Multi-Layers Wooden Shoe Rack- 5 Layers-20 Shoes
4 out of 5(2),4 out of 5,67%,"₦ 5,999 - ₦ 6,999","₦ 18,000",Ladies Everything Ladies Low-cut Sport Shoes - Women Fashion Outdoor Sneakers - Girls Canvas Size
,,,"₦ 54,000",,Clarks Suede Work Shoe
,,50%,"₦ 28,326 - ₦ 39,766","₦ 56,652 - ₦ 79,532",{MijaGrace} Men's High-Top Anti-Skid Studded Football Boot - Black - EU36-49
,,50%,"₦ 33,000","₦ 65,900",1/2/3Pcs Foldable Plastic Transparent Shoe Box Storage Clear Organizer +3 Transparent Small
4.5 out of 5(2),4.5 out of 5,50%,"₦ 5,500","₦ 11,000",Trendy Unisex Sneakers / Canvas (Black)
,,38%,"₦ 18,980","₦ 30,800",NEW CLASSIC'S BROUGUE TIE DESIGNERS SHOE BLACK
,,50%,"₦ 15,900","₦ 31,700",Men's All-match Slip-on Canvas Shoes
4.7 out of 5(3),4.7 out of 5,10%,"₦ 9,000","₦ 10,000",Children's LED Lights Shoes Girls Cartoon Baby Shoes-Sliver
,,59%,"₦ 13,800","₦ 33,700",CRACK SHINING  DESIGNERS SHOE BLACK
,,,"₦ 21,000",,Crabkids Boys School Shoes
,,,"₦ 11,500",,3 Pairs Unisex 'I Love Baby' Soft Sole Shoes - Blue/Pink/Red
5 out of 5(2),5 out of 5,60%,"₦ 17,664","₦ 44,159",ADIDAS Performance Sport Shoes Kids Altasport K
5 out of 5(1),5 out of 5,12%,"₦ 34,500","₦ 39,000",100 Percent Original Croc Literide Authentic 360 Sandals
,,48%,"₦ 17,500","₦ 33,700",Depally NEW STAIGHT CHAIN DESIGNERS SHOE BLACK
3.5 out of 5(4),3.5 out of 5,21%,"₦ 7,500","₦ 9,500",Unique Female Flat Shoe-Black
3.5 out of 5(2),3.5 out of 5,70%,"₦ 15,738","₦ 52,460",ADIDAS Performance Sport Shoes Kids Altaventure Mickey I
,,50%,"₦ 15,000 - ₦ 160,000","₦ 30,000 - ₦ 300,000",Fringed Mens Leisure Half Shoes Luxury Suede Formal Half Shoe
3.5 out of 5(16),3.5 out of 5,,"₦ 4,499",,5 Layer Display Shoe Rack
,,50%,"₦ 39,408 - ₦ 47,208","₦ 79,456 - ₦ 95,056",Girls Boots Fashion Children's Leather Short Boots-White
3.3 out of 5(3),3.3 out of 5,,"₦ 15,200",,Men's Foreign Half Shoe
5 out of 5(1),5 out of 5,50%,"₦ 14,569","₦ 29,138",Slip On Rainbow Children Canvas Sneaker Breathable Shoes Soft Plimsolls Kids Non Slip White Sneaker
5 out of 5(1),5 out of 5,60%,"₦ 50,100","₦ 125,250",Flangesio New Classic Men Square Toe Formal Dress Shoes Mens Platform Leather+Mesh Oxfords Lace Up Thick Sole Male Casual Shoes Banquet Wedding Shoes Party Shoes Black EUR Size 38-45
,,,"₦ 75,000",,Cole Top Shoe
,,,"₦ 5,500",,Looking Smart Latest Ladies Flat Shoe Girls Women Shoe-black
3.7 out of 5(7),3.7 out of 5,,"₦ 5,500",,"Latest Female Design Shoe For Ladies,women-black"
5 out of 5(1),5 out of 5,,"₦ 15,500",,Girls Black School Shoes
2.3 out of 5(3),2.3 out of 5,,"₦ 1,800",,Cheap Rubber For Girls Black
2.5 out of 5(2),2.5 out of 5,41%,"₦ 30,500 - ₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
4.9 out of 5(12),4.9 out of 5,,"₦ 6,499",,Kids Breathable Socks Casual Sneakers.
4.7 out of 5(3),4.7 out of 5,50%,"₦ 24,999 - ₦ 25,999","₦ 50,000",Classy Men's Formal Shoe - Black Office Shoe
4 out of 5(1),4 out of 5,40%,"₦ 16,870","₦ 28,000",CONFIRM FASHION SNEAKERS BLACK
5 out of 5(1),5 out of 5,,"₦ 7,500",,Angel Newborn Baby Girls Party T-Bar Bowknot Shoes - Black
,,,"₦ 7,000",,Kids Boys Children Loafers-black Shoe
,,35%,"₦ 16,590","₦ 25,500",Vangelo CLASSIC CRACK MEN DESIGNERS SHOE BLACK
,,,"₦ 7,000",,Smart Kids Sport Casual Comfortable Unisex School Sneakers Shoe - Black
,,50%,"₦ 15,900","₦ 31,700",Drawer Shoe Box Storage Transparent Shoe Box Factory Direct Dustproof Thickening Storage Box Plastic Box Household Items Green
5 out of 5(3),5 out of 5,55%,"₦ 13,500","₦ 30,000",Santiago New Luxury Designer Casual Leather Loafers Italian Men Half Shoes Diamond Studs
,,13%,"₦ 50,430","₦ 57,960",Mens Canvas Sneakers Casual Low Top Lace Up Canvas Shoes
5 out of 5(1),5 out of 5,33%,"₦ 22,619 - ₦ 27,663","₦ 33,929 - ₦ 41,495",Men's New Fashion Business Casual Breathable Trendy Leather Shoes Soft - White
4 out of 5(1),4 out of 5,40%,"₦ 17,100","₦ 28,700",Luca Men’s Cooperate Shoe With Stone Design
5 out of 5(1),5 out of 5,,"₦ 9,500",,100 PIECES SHOE COVER
,,48%,"₦ 26,139","₦ 50,000",Pointed Toe Mens Dress Shoes Breathable Black Wedding Shoes Formal Suit Office Leather Shoes
,,50%,"₦ 19,716","₦ 39,432",Children's Mesh Shoes Breathable Boys Comfortable Girls Sneakers Black
,,33%,"₦ 46,170","₦ 69,300",Tassel Formal Shoes Men Slip On Loafers Business Wedding Moccasins -Orange
,,38%,"₦ 4,999","₦ 8,000",Rising Star Baby Boy Shoes - 2 (6-9) M
3.6 out of 5(7),3.6 out of 5,32%,"₦ 12,999","₦ 19,000",Varrati Mens Italian Leather Wedding Office Shoes + Free Chain
,,,"₦ 7,999",,Adjustable Silicon Gel Orthopedic/sports Shoe Insoles
,,42%,"₦ 122,930","₦ 211,948",Children Shoes Girls Princess Orthopedic Sandals For Kids Toddler Boy Summer Arch Support Footwear  Sky Blue
4.1 out of 5(13),4.1 out of 5,4%,"₦ 12,000","₦ 12,500",Fringed Mens Leisure Half Shoes Luxury Suede Formal Half Shoe
5 out of 5(1),5 out of 5,37%,"₦ 4,000","₦ 6,350",Non Marking Insole Shoe Protector
,,20%,"₦ 26,619","₦ 33,294",Children Lightweight Running Sneakers Boys Girls Shoes
4.2 out of 5(5),4.2 out of 5,,"₦ 6,500",,Patent Leather Girls Black Dress And School Shoe
5 out of 5(2),5 out of 5,70%,"₦ 10,218","₦ 34,060",ADIDAS Core / Neo Slippers Kids Fortaswim 2 I
,,42%,"₦ 49,030","₦ 84,534",Princess Girls Sandals Kids Shoes For Girls Dress Shoes Little High Heel Glitter Summer Party Wedding Sandal Children Shoe Silver
3 out of 5(2),3 out of 5,59%,"₦ 13,800","₦ 33,700",CRACK SHINING  DESIGNERS SHOE BLACK
1 out of 5(1),1 out of 5,50%,"₦ 36,500","₦ 73,400",Unisex Basketball Shoes Kids Sports Shoes
5 out of 5(1),5 out of 5,15%,"₦ 48,344","₦ 56,784",Men Leather Shoes High Quality Classic Brogue Shoes Man Footwear
,,8%,"₦ 55,000","₦ 60,000",Clarks Men's Corporate Shoe - Black
,,50%,"₦ 25,734","₦ 51,468",Men's Fashion Casual Rubber Sole Shoes
5 out of 5(1),5 out of 5,60%,"₦ 20,976","₦ 52,439",ADIDAS Core / Neo Sport Shoes Kids Lite Racer K
,,31%,"₦ 38,370","₦ 55,824",Men's Fashion Casual Leather Shoes
,,50%,"₦ 29,830","₦ 59,660",Men's Casual Breathable Canvas Shoes
,,51%,"₦ 32,000","₦ 65,000",Premium Quality & Stylish Sneakers
4 out of 5(1),4 out of 5,,"₦ 16,000",,SPORT Football Comfortable Boot Grey/Green
,,39%,"₦ 35,600","₦ 58,002",Men's Italian Plus Size Smooth Leather Shoes Brown
,,,"₦ 22,650",,"Safety Jogger BESTLIGHT1 OB SRC, Ultra-light, Universal Clog Shoe"
4 out of 5(2),4 out of 5,73%,"₦ 2,900","₦ 10,900",4pcs Stainless Steel Facial Acne Blackhead Remover Needles Kit Extractor Tool
,,50%,"₦ 41,651","₦ 83,361",Men's Fashion Semi Toes Crocodile Pattern
5 out of 5(2),5 out of 5,,"₦ 15,500",,Men Premium Higher Quality Leather Half-shoe
4 out of 5(1),4 out of 5,38%,"₦ 39,800 - ₦ 42,100","₦ 63,680 - ₦ 67,360",Men Formal Shoes Big Sizes 38-46 New Business Oxfords Office Shoes Male Wedding Party Leather Shoes Brown
,,12%,"₦ 46,990","₦ 53,340",Soccer Boots Plus Size Adult/Kids Studded Soccer Boots White
4 out of 5(2),4 out of 5,54%,"₦ 5,500","₦ 12,000",Kaotic Trendy Sneakers For Kids - Black
,,33%,"₦ 45,140 - ₦ 51,252","₦ 67,467",Mens Leather Shoes Dress Shoes High Quality Office Shoes Wedding Shoes Black
,,41%,"₦ 5,900","₦ 10,000",Baby Boy Crawler Star Prewalker  Shoe (brown)
,,41%,"₦ 5,900","₦ 10,000",Baby Boy Crawler Star Prewalker  Shoe (brown)
3 out of 5(1),3 out of 5,40%,"₦ 6,300","₦ 10,500",Black Covered Slip-on Pam Slippers - With Centre Openings
,,47%,"₦ 14,100","₦ 26,700",Luca Men’s Cooperate Shoe With Stone Design
,,50%,"₦ 24,999","₦ 50,000",Cooperate Formal Men's Business Casual Office Shoe - Brown + Shoe Box
,,10%,"₦ 9,000","₦ 10,000",Children's Martin Leather Short Boots British Style-Brown
5 out of 5(1),5 out of 5,68%,"₦ 8,999","₦ 28,000",Men'S Comfortable New Men's Brighton Sport Casual Sneaker Canvas - Men's Running Shoe
1.5 out of 5(2),1.5 out of 5,5%,"₦ 32,712","₦ 34,596",Classic Men's Clarks Loafers Shoe - Black
5 out of 5(1),5 out of 5,20%,"₦ 31,692","₦ 39,616",(White)Wedding Businness Men's Dress Shoes Comfortable Slip On Loafers Fashion Contracted Casual Flat Male Footwear Sapatênis Masculino JIN
4.6 out of 5(24),4.6 out of 5,,"₦ 6,500",,Ladies Quality Flat Shoe For Women-black
,,,"₦ 7,999",,Big Girl Jelly Fisherman Sandals.
5 out of 5(1),5 out of 5,50%,"₦ 10,746 - ₦ 22,836","₦ 21,492 - ₦ 45,672",Girls Dancing Shoes Princess Shoes Children
4.6 out of 5(19),4.6 out of 5,,"₦ 6,200 - ₦ 6,499",,Kids Socks Casual Shoe Sneakers.
5 out of 5(1),5 out of 5,,"₦ 2,800",,Kids Flip Flops Boys Captain America Marvel Disney Slippers Shoes
5 out of 5(2),5 out of 5,,"₦ 60,650",,"Safety Jogger Dakar X Safety Shoe, Safety Boot"
,,,"₦ 7,800",,Quality Baby Girl Sandal
,,,"₦ 6,500",,High Quality Boys Rain Boot
,,38%,"₦ 41,500","₦ 66,400",Men's High-End Formal Leather Shoes Lace Up Business Office Shoes Wedding Shoes
4.4 out of 5(9),4.4 out of 5,7%,"₦ 13,500","₦ 14,500",7 Layers Shoe Rack (Space For 21 Pairs)
3.7 out of 5(3),3.7 out of 5,,"₦ 8,500",,Toddler Boys High Top Soft Bottom Shoes/Blue
,,32%,"₦ 69,290","₦ 101,990",Safety Shoes Steel Toe Work Boots Fabric High-Top
3 out of 5(1),3 out of 5,36%,"₦ 16,000","₦ 25,000",Men's Simple Half Shoe - Black
4.8 out of 5(6),4.8 out of 5,62%,"₦ 37,414","₦ 97,551",Men's Mesh Comfortable Breathable Round Head Outdoor Hiking Shoes
,,5%,"₦ 20,000","₦ 21,000",Faerbite Girls Leather School Shoe
,,,"₦ 69,950",,"Safety Jogger RAPTOR SAFETY SHOE, SAFETY BOOT"
4 out of 5(2),4 out of 5,11%,"₦ 15,999","₦ 17,999",Black Children's Ultra-Light Breathable Basketball Shoes Running Sneakers
,,20%,"₦ 43,857","₦ 54,822",(Black)Men's Shoes Business Casual Formal Wear Black Leather Shoes Korean Style Round Toe Men's Leather Shoes Suit Wedding Shoes Men's JIN
4.5 out of 5(2),4.5 out of 5,10%,"₦ 9,000","₦ 10,000",Girls Boots Martin Boots Plus Velvet Cotton Shoes-Black
,,33%,"₦ 12,000","₦ 18,000",Proper Men's Slippers
5 out of 5(2),5 out of 5,45%,"₦ 32,000","₦ 58,200",Clarks Sophisticated Men's Leather Clark Shoe- Blak
,,50%,"₦ 28,772 - ₦ 32,872","₦ 57,600 - ₦ 65,800","Boys, Girls And Children's Casual Trend Snow Boots-Grey"
4 out of 5(1),4 out of 5,22%,"₦ 14,000","₦ 18,000",Quality Mens Black Palm Slippers
,,11%,"₦ 39,972","₦ 45,000",Men's Patterned Corporate Shoe
4.7 out of 5(3),4.7 out of 5,33%,"₦ 5,946","₦ 8,919",Long Shoe Horn Shoes Lifter Remover Metal Steel Handled  65cm
2 out of 5(1),2 out of 5,33%,"₦ 4,040","₦ 6,060",Transparent Plastic Shoe Box Shoe Storage Box Shoe Box Shoe Box Shoe Storage
,,44%,"₦ 32,500","₦ 58,000",Mens Canvas Sneakers Casual Low Top Lace Up Canvas Shoes
,,,"₦ 13,000",,Girl's Heel Shoes - Black
,,42%,"₦ 6,999","₦ 12,000",Sneakers - Girls Sneakers - Sneakers For Ladies Fashion
4.3 out of 5(3),4.3 out of 5,29%,"₦ 5,999","₦ 8,500","VAULTEX NON-SAFETY GUMBOOT / RAINBOOT, WITHOUT STEEL TOECAP & WITHOUT STEEL MIDSOLE"
,,50%,"₦ 32,004","₦ 64,007",Men's Casual Business Leather Shoes
,,,"₦ 5,500",,Children's Shoe Brown
4 out of 5(1),4 out of 5,68%,"₦ 9,500 - ₦ 12,500","₦ 30,000",Varrati New Suede + Patent Shoe - Black
5 out of 5(1),5 out of 5,13%,"₦ 30,061","₦ 34,600",EUR 37-47 Leather Mens Loafers Shoes Men Flats Breathable Casual Shoes Comfortable Driving Shoes
,,50%,"₦ 2,000","₦ 4,000",Character Girl Slippers - Brown
3.3 out of 5(13),3.3 out of 5,,"₦ 35,000",,Mens Football Boots
,,31%,"₦ 8,999 - ₦ 9,999","₦ 12,999",Easy Casual Men's Brighton Sneaker Canvas - Shoe
4.7 out of 5(3),4.7 out of 5,33%,"₦ 19,999","₦ 30,000",YBK SPORTY CANVASS SHOES WITH KEVLAR/EVA SOLE PROTECTION
2.5 out of 5(2),2.5 out of 5,52%,"₦ 33,590 - ₦ 34,790","₦ 70,490 - ₦ 73,090",Men's All-mNew Business Formal Men's British Leather Shoes 新款商务正式男士英式皮鞋atch Leather Shoes
4 out of 5(9),4 out of 5,60%,"₦ 17,672","₦ 44,180",ADIDAS Performance Sport Shoes Kids Altasport K
